image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,8.79,1677.17,0.56,1703.41
285,5.86,1778.57,0.35,1790.58
632,4.43,1678.19,0.34,1686.36
724,3.52,1480.34,0.27,1486.79
776,4.54,1440.26,0.26,1448.91
785,3.58,1807.41,0.29,1814.35
802,3.78,1819.35,0.31,1825.85
872,6.13,1571.85,0.27,1584.15
885,3.93,1704.87,0.35,1712.01
1000,4.42,1930.1,0.41,1939.86
1268,4.1,1569.35,0.26,1577.18
1296,3.94,1605.83,0.25,1612.98
1353,3.29,1737.18,0.26,1742.97
1425,5.29,1468.57,0.23,1476.95
1490,3.13,1637.01,0.27,1642.55
1503,2.51,1510.77,0.21,1514.5
1532,4.0,1469.72,0.22,1477.51
1584,4.45,1470.89,0.22,1478.95
1675,4.03,1637.69,0.23,1644.83
1761,3.84,2263.59,0.22,2270.61
1818,3.57,1634.6,0.26,1642.18
1993,3.71,1436.85,0.2,1443.6
2006,3.93,1500.93,0.26,1508.78
2149,3.94,1572.09,0.33,1578.68
2153,4.18,1805.65,0.28,1813.24
2157,3.68,1466.46,0.19,1473.24
2261,3.6,1634.56,0.22,1641.86
2299,2.75,1441.55,0.22,1446.49
2431,4.01,1504.48,0.23,1511.79
2473,4.23,1598.9,0.22,1606.29
2532,4.47,1469.76,0.2,1478.31
2587,3.11,1668.6,0.2,1674.38
2592,3.27,1698.36,0.21,1704.39
2685,5.05,1439.89,0.22,1449.68
2923,3.14,1602.24,0.2,1607.96
3156,3.99,1665.81,0.22,1672.98
3255,3.37,1483.32,0.19,1489.7
3501,4.6,1837.25,0.27,1845.39
3553,4.75,2531.38,0.42,2539.8
3661,3.8,1774.06,0.25,1780.7
3845,3.12,1439.73,0.19,1445.92
3934,3.16,1702.48,0.24,1708.64
4134,4.24,1441.37,0.26,1449.78
4395,3.95,1505.33,0.19,1512.0
4495,3.0,1501.76,0.2,1507.32
4765,5.42,1807.07,0.24,1815.98
4795,4.12,1700.41,0.22,1708.38
5001,3.85,1599.22,0.22,1606.87
5037,3.64,1573.05,0.19,1580.07
5060,4.46,1996.81,0.22,2005.03
5193,3.61,1467.45,0.18,1473.96
5477,3.2,1570.66,0.21,1576.8
5503,3.14,1433.21,0.25,1438.34
5529,4.19,2160.8,0.38,2169.41
5586,2.66,1639.18,0.23,1643.18
