image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,8.85,1931.53,0.31,1975.02
285,8.08,1541.91,0.2,1556.92
632,4.22,1105.85,0.16,1113.62
724,3.79,1751.91,0.21,1758.6
776,4.13,1797.95,0.18,1805.9
785,3.63,1016.04,0.25,1022.8
802,4.04,1363.24,0.24,1370.05
872,5.71,1500.91,0.17,1511.65
885,3.64,1790.24,0.2,1796.8
1000,4.0,1015.35,0.16,1024.26
1268,3.51,1578.21,0.19,1585.33
1296,4.3,1402.82,0.2,1410.37
1353,3.29,1789.77,0.18,1795.47
1425,4.64,1806.66,0.22,1815.1
1490,3.39,1317.81,0.19,1323.8
1503,2.42,1792.3,0.2,1795.93
1532,4.42,1635.51,0.33,1643.99
1584,6.27,1187.79,0.19,1197.98
1675,4.07,1538.26,0.21,1545.29
1761,4.02,1055.84,0.19,1063.07
1818,3.54,1188.23,0.19,1195.26
1993,3.6,1100.5,0.15,1106.99
2006,4.05,1788.6,0.16,1796.28
2149,4.25,1658.08,0.17,1665.32
2153,4.12,1273.06,0.16,1280.46
2157,3.61,1184.91,0.16,1191.58
2261,4.78,1617.23,0.16,1625.58
2299,2.65,1793.73,0.24,1798.42
2431,5.11,1792.98,0.33,1801.64
2473,4.05,1791.28,0.19,1798.2
2532,3.82,1015.27,0.18,1022.87
2587,3.21,1444.52,0.16,1450.33
2592,3.16,1185.35,0.14,1191.16
2685,4.21,1790.89,0.16,1799.63
2923,3.03,1789.33,0.19,1795.02
3156,3.93,1789.49,0.18,1796.32
3255,3.73,1271.62,0.14,1278.34
3501,4.76,1058.99,0.16,1067.6
3553,3.76,1400.54,0.15,1407.52
3661,3.25,1141.46,0.15,1147.38
3845,2.97,1055.63,0.13,1061.49
3934,3.05,1704.04,0.14,1709.78
4134,3.98,1790.67,0.22,1798.23
4395,4.01,1105.5,0.19,1112.07
4495,3.32,1364.86,0.31,1370.96
4765,5.01,1403.84,0.17,1412.52
4795,3.88,1788.52,0.2,1795.98
5001,3.93,1792.37,0.21,1800.26
5037,3.63,1793.28,0.17,1800.46
5060,3.93,1788.47,0.18,1796.05
5193,3.47,1702.35,0.2,1709.08
5477,3.25,1356.57,0.16,1362.65
5503,2.89,1746.53,0.17,1751.21
5529,4.62,1791.79,0.18,1800.19
5586,2.27,1013.87,0.17,1017.42
5600,3.15,1573.88,0.16,1580.04
5992,3.44,1701.03,0.14,1707.99
6012,4.31,1791.12,0.18,1799.53
6040,3.88,1484.68,0.14,1491.89
6213,3.43,1788.08,0.24,1794.4
6460,3.77,1664.88,0.27,1671.52
6471,3.22,1790.52,0.17,1795.99
6614,3.0,1790.85,0.18,1796.0
6723,3.23,1789.27,0.16,1795.69
6763,3.06,1789.73,0.16,1795.22
6771,3.5,1790.55,0.22,1797.15
6818,3.78,1789.07,0.19,1795.67
6894,4.3,1786.29,0.16,1793.83
6954,3.67,1790.41,0.18,1798.18
7088,4.21,1789.62,0.16,1798.33
7108,4.01,1787.44,0.15,1794.68
7278,3.73,1794.04,0.16,1802.51
