image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,6.89,1797.95,0.18,1832.91
285,4.09,1927.26,0.2,1936.66
632,3.37,1839.81,0.17,1846.72
724,2.59,2141.65,0.28,2146.94
776,3.4,2103.09,0.22,2110.02
785,3.08,3294.87,0.23,3301.04
802,3.3,3467.38,0.23,3473.06
872,5.41,3336.51,0.21,3348.62
885,3.08,1930.85,0.19,1936.95
1000,3.23,2147.66,0.17,2155.74
1268,3.03,2273.03,0.19,2279.54
1296,3.19,3425.89,0.21,3432.18
1353,2.69,1802.85,0.16,1807.86
1425,3.6,2443.61,0.17,2449.95
1490,2.54,1929.58,0.16,1934.27
1503,1.82,2312.7,0.16,2315.71
1532,3.31,1807.25,0.17,1814.11
1584,4.61,1887.08,0.16,1895.21
1675,3.23,2017.19,0.17,2023.22
1761,3.34,1887.51,0.16,1893.61
1818,3.1,2102.44,0.16,2108.82
1993,3.0,2057.86,0.18,2063.67
2006,3.33,3471.13,0.25,3478.22
2149,3.27,2488.11,0.18,2493.95
2153,3.45,1849.25,0.19,1856.06
2157,3.2,3486.0,0.22,3492.36
2261,3.55,1978.54,0.22,1986.29
2299,2.55,1811.44,0.19,1816.21
2431,3.51,2023.84,0.21,2030.71
2473,3.28,1896.61,0.19,1902.72
2532,3.53,1852.39,0.3,1860.03
2587,2.8,2574.71,0.22,2580.16
2592,2.94,2145.82,0.2,2151.59
2685,4.34,3169.75,0.22,3179.44
2923,2.66,3463.84,0.2,3468.89
3156,3.33,2057.32,0.19,2063.39
3255,2.79,2017.81,0.17,2023.57
3501,3.86,1976.78,0.16,1984.11
3553,3.0,2060.44,0.18,2066.49
3661,2.92,1972.94,0.16,1978.5
3845,2.48,2144.58,0.16,2149.93
3934,2.67,3478.22,0.2,3483.61
4134,3.03,1973.49,0.18,1979.73
4395,3.47,2270.96,0.18,2277.02
4495,2.47,2399.75,0.16,2404.57
4765,4.54,1930.17,0.16,1938.22
4795,3.24,1846.24,0.15,1852.9
5001,3.24,2445.39,0.17,2452.4
5037,3.09,2350.77,0.17,2357.26
5060,3.38,3470.92,0.19,3477.75
5193,3.04,1980.6,0.17,1986.51
5477,2.78,1930.46,0.17,1936.09
5503,2.45,1887.07,0.16,1891.35
5529,3.32,2700.64,0.17,2707.77
5586,2.29,2438.25,0.22,2441.88
5600,2.99,2442.09,0.17,2448.26
5992,3.11,3471.22,0.21,3477.87
6012,3.62,1848.19,0.28,1855.61
6040,2.85,2016.73,0.19,2022.54
6213,3.08,1932.91,0.19,1938.71
6460,3.65,3467.31,0.21,3473.92
6471,2.34,1843.13,0.18,1847.69
6614,2.5,2057.73,0.16,2062.3
6723,2.68,3471.7,0.2,3477.67
6763,2.71,2361.84,0.18,2367.02
6771,3.15,1931.62,0.18,1937.95
6818,3.23,2015.46,0.15,2021.17
6894,3.27,2022.56,0.17,2028.97
6954,4.08,2057.03,0.18,2065.19
7088,3.38,3469.1,0.21,3476.47
7108,3.18,1888.66,0.17,1895.21
7278,3.25,1931.17,0.15,1939.01
7281,2.67,3469.88,0.19,3475.45
7386,2.89,2615.88,0.18,2622.12
7511,3.86,2139.85,0.15,2146.92
7574,3.24,1969.09,0.15,1975.66
7784,2.45,2311.08,0.16,2315.54
7795,3.05,2226.42,0.16,2232.7
7816,2.96,1844.34,0.15,1850.67
7818,3.04,2136.91,0.16,2142.73
7888,4.16,1796.84,0.15,1803.73
7977,3.68,2996.68,0.24,3004.24
7991,2.94,2137.57,0.16,2144.02
8021,3.4,2652.86,0.2,2659.85
8211,3.33,3462.27,0.36,3469.9
8277,4.26,1885.65,0.18,1893.82
8532,2.99,1928.54,0.18,1934.39
8629,4.51,2097.87,0.17,2107.37
8690,3.34,2097.35,0.17,2105.01
8762,3.03,2436.44,0.2,2441.84
8844,3.16,1926.21,0.21,1932.17
8899,3.58,2016.0,0.17,2024.2
9378,3.0,2142.6,0.18,2148.08
9400,3.4,3467.84,0.2,3474.14
9448,4.0,1930.1,0.16,1939.36
9483,3.26,3468.56,0.18,3475.0
9590,3.08,2015.51,0.18,2021.81
9769,3.75,1845.13,0.17,1854.35
9772,3.95,3170.39,0.18,3178.63
9891,3.29,2271.63,0.17,2278.19
9914,3.33,2101.24,0.16,2108.13
10092,3.03,1885.59,0.16,1891.73
10363,2.7,2359.64,0.18,2364.8
10583,3.95,1930.09,0.17,1938.29
10707,3.29,3466.17,0.21,3472.69
10764,3.12,2055.32,0.17,2062.06
10977,2.49,1933.3,0.16,1937.75
10995,3.32,1927.62,0.15,1933.5
11051,3.68,2614.0,0.16,2620.94
11122,3.33,3475.26,0.22,3483.01
11149,2.63,2403.02,0.2,2408.79
11197,3.24,1885.14,0.15,1891.97
