image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,12.93,1812.07,4.72,1840.06
285,7.08,1890.27,5.4,1908.05
632,6.15,1987.34,5.23,2002.33
724,5.31,2135.69,5.61,2149.21
776,6.4,1900.42,4.92,1915.13
785,6.49,2550.67,6.17,2566.72
802,6.19,2023.15,5.02,2037.07
872,8.35,1891.93,4.65,1910.33
885,6.05,1803.66,4.53,1817.04
1000,6.46,1983.7,4.81,1999.82
1268,5.76,2011.85,4.96,2026.02
1296,6.07,1899.63,4.58,1913.43
1353,5.33,1813.7,4.39,1825.48
1425,6.49,2092.55,5.03,2106.58
1490,4.91,1905.15,4.61,1916.81
1503,4.04,1973.73,4.76,1983.6
1532,6.6,2231.84,5.47,2248.14
1584,7.76,2019.12,4.89,2035.19
1675,6.5,2095.97,5.17,2110.4
1761,6.29,1906.08,4.69,1919.9
1818,6.02,2217.68,5.52,2232.81
1993,5.98,1944.37,4.71,1957.63
2006,6.22,1928.09,4.71,1942.9
2149,5.64,1848.35,4.8,1860.92
2153,6.47,1981.28,4.82,1996.14
2157,5.65,2009.16,4.89,2022.63
2261,5.62,2347.56,5.68,2362.34
2299,4.69,1972.39,4.78,1983.85
2431,6.54,1928.96,4.67,1943.27
2473,5.79,2278.36,5.51,2292.35
2532,6.84,2090.62,5.05,2107.3
2587,4.8,2236.83,5.42,2249.29
2592,5.48,2088.28,5.1,2101.88
2685,6.89,2271.46,5.48,2288.3
2923,5.09,2013.74,4.89,2025.98
3156,6.42,2103.95,5.46,2118.77
3255,6.1,1897.93,4.58,1911.66
3501,7.23,1884.08,4.57,1899.26
3553,5.56,2020.54,5.0,2034.0
3661,5.61,1807.86,4.39,1820.44
3845,4.96,2057.43,4.97,2070.06
3934,5.32,1979.37,4.8,1992.16
4134,5.74,1923.15,4.7,1936.81
4395,5.99,2145.22,5.21,2158.68
4495,5.13,1812.33,4.39,1824.17
4765,7.18,2303.95,5.76,2320.25
4795,6.63,1853.51,4.49,1868.15
5001,6.55,2006.46,4.86,2021.66
5037,5.47,1892.99,4.63,1906.3
5060,6.4,1853.5,4.48,1868.93
5193,5.67,1812.4,4.46,1825.09
5477,5.27,2185.74,5.32,2199.22
5503,5.17,1922.48,4.65,1934.19
5529,6.16,1813.54,4.52,1828.06
5586,4.27,1848.97,4.48,1858.89
5600,5.87,1885.15,4.62,1898.47
5992,5.65,1821.16,4.4,1834.63
6012,6.87,2792.36,6.88,2809.98
6040,5.66,1813.95,4.41,1826.99
6213,5.71,2099.11,5.09,2112.54
6460,5.72,1848.1,4.48,1860.92
6471,4.74,1824.94,4.43,1836.26
6614,5.17,1800.27,4.37,1811.84
6723,5.16,1933.96,4.7,1946.83
6763,5.28,1846.7,4.51,1858.8
6771,5.61,2169.51,5.43,2183.44
6818,6.27,1898.53,4.59,1911.96
6894,6.08,2096.64,5.07,2110.79
6954,5.98,2182.13,5.26,2197.56
7088,6.49,1935.33,4.67,1950.58
7108,5.56,2169.75,5.28,2183.75
7278,6.76,2225.76,5.35,2242.65
7281,5.28,2170.13,5.25,2183.57
7386,5.67,1806.51,4.39,1820.44
7511,6.05,1928.29,4.68,1942.4
7574,5.9,1846.2,4.5,1859.89
