image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,11.68,1886.18,0.21,1917.53
285,6.72,1899.19,0.15,1913.53
632,4.44,1975.99,0.15,1984.26
724,3.68,2140.81,0.25,2147.45
776,5.08,1887.4,0.15,1896.46
785,3.94,2577.05,0.18,2584.38
802,5.53,2016.74,0.17,2025.81
872,5.48,1889.94,0.16,1901.06
885,4.46,1849.69,0.15,1857.23
1000,4.67,1963.06,0.15,1972.83
1268,4.0,2021.81,0.16,2029.44
1296,4.41,1885.88,0.15,1893.71
1353,3.53,1806.23,0.16,1812.06
1425,5.16,2096.7,0.15,2104.8
1490,3.6,1881.25,0.13,1887.34
1503,2.59,1978.13,0.19,1981.96
1532,4.45,2211.52,0.14,2220.11
1584,5.49,2023.86,0.25,2032.99
1675,5.33,2102.1,0.17,2110.66
1761,5.54,1886.57,0.16,1895.99
1818,4.2,2224.66,0.17,2232.56
1993,4.18,1925.89,0.16,1933.02
2006,4.31,3426.08,0.21,3434.27
2149,4.13,1843.56,0.15,1850.39
2153,4.24,1971.0,0.16,1978.83
2157,4.11,2013.22,0.16,2020.54
2261,4.14,2345.09,0.17,2353.2
2299,3.28,1974.88,0.2,1980.44
2431,4.76,1930.15,0.2,1938.62
2473,5.24,2272.6,0.18,2281.59
2532,5.29,2098.09,0.16,2107.78
2587,3.53,2219.84,0.16,2225.92
2592,3.77,2142.84,0.15,2149.52
2685,4.75,2257.8,0.16,2267.51
2923,3.53,2020.14,0.15,2026.21
3156,4.38,2089.37,0.14,2096.77
3255,3.67,1818.74,0.15,1825.68
3501,5.64,1886.79,0.14,1896.08
3553,3.99,2017.93,0.15,2025.31
3661,3.98,1812.14,0.16,1819.01
3845,3.55,2054.38,0.13,2061.09
3934,3.54,1978.82,0.21,1985.26
4134,4.41,1937.58,0.22,1945.83
4395,5.65,2142.2,0.17,2151.43
4495,3.55,1813.72,0.16,1819.81
4765,5.19,2296.57,0.15,2305.38
4795,4.24,1851.83,0.17,1859.85
5001,4.51,2018.47,0.16,2027.17
5037,4.03,1887.17,0.15,1894.98
5060,4.54,1851.7,0.14,1860.23
5193,4.1,1806.42,0.12,1813.61
5477,3.74,2177.32,0.16,2184.02
5503,3.51,1933.36,0.15,1938.72
5529,4.6,1966.74,0.15,1975.6
5586,2.71,1859.72,0.16,1863.74
5600,3.84,1891.63,0.15,1898.68
5992,4.14,1817.58,0.15,1825.34
6012,5.22,2798.98,0.16,2808.19
6040,3.74,1816.61,0.15,1823.58
6213,4.15,2090.98,0.16,2098.07
6460,4.24,1843.39,0.16,1850.55
6471,3.32,1811.18,0.22,1816.93
6614,5.15,1815.94,0.16,1823.56
6723,3.93,1925.8,0.16,1933.27
6763,3.49,1867.73,0.18,1873.78
6771,4.55,2173.9,0.15,2181.89
6818,4.38,1889.43,0.16,1896.5
